State,City,Category,Amount
Alabama,Decatur,Office Supplies,225
Alabama,Montgomery,Office Supplies,23
Alabama,Montgomery,Technology,980
Arizona,Gilbert,Technology,168
Arizona,Gilbert,Office Supplies,1113
Arizona,Mesa,Office Supplies,17
Arizona,Mesa,Furniture,393
Arizona,Phoenix,Technology,30
Arizona,Phoenix,Office Supplies,558
Arizona,Phoenix,Furniture,1297
Arizona,Scottsdale,Office Supplies,158
Arizona,Scottsdale,Technology,203
Arizona,Sierra Vista,Office Supplies,62
Arizona,Tucson,Office Supplies,17
Arizona,Tucson,Technology,1884
Arkansas,Fayetteville,Office Supplies,111
California,Anaheim,Office Supplies,1296
California,Brentwood,Technology,80
California,Concord,Furniture,130
California,Costa Mesa,Office Supplies,120
California,Costa Mesa,Furniture,567
California,Hesperia,Technology,100
California,Hesperia,Office Supplies,252
California,Huntington Beach,Office Supplies,96
California,Inglewood,Office Supplies,15
California,Lake Elsinore,Furniture,284
California,Lancaster,Office Supplies,17
California,Lancaster,Furniture,349
California,Long Beach,Office Supplies,195
California,Long Beach,Furniture,370
California,Los Angeles,Office Supplies,1307
California,Los Angeles,Technology,4473
California,Los Angeles,Furniture,6087
California,Mission Viejo,Office Supplies,356
California,Oceanside,Furniture,205
California,Pasadena,Office Supplies,672
California,Redlands,Office Supplies,14
California,Riverside,Office Supplies,147
California,Roseville,Furniture,43
California,Roseville,Office Supplies,213
California,Salinas,Office Supplies,44
California,San Diego,Office Supplies,527
California,San Diego,Furniture,917
California,San Diego,Technology,5218
California,San Francisco,Office Supplies,2629
California,San Francisco,Technology,4041
California,San Francisco,Furniture,5752
California,San Jose,Office Supplies,410
California,Santa Ana,Furniture,18
California,Santa Ana,Technology,1400
California,Santa Clara,Office Supplies,11
California,Torrance,Office Supplies,6
California,Torrance,Furniture,1114
California,Vallejo,Office Supplies,15
California,Vallejo,Furniture,1049
California,Whittier,Technology,445
Colorado,Arvada,Office Supplies,6
Colorado,Arvada,Furniture,497
Colorado,Aurora,Furniture,102
Colorado,Aurora,Office Supplies,421
Colorado,Aurora,Technology,660
Colorado,Colorado Springs,Office Supplies,107
Colorado,Colorado Springs,Furniture,748
Colorado,Denver,Office Supplies,84
Colorado,Denver,Furniture,219
Colorado,Denver,Technology,2966
Colorado,Louisville,Office Supplies,3
Colorado,Louisville,Furniture,604
Colorado,Louisville,Technology,757
Colorado,Parker,Office Supplies,73
Colorado,Parker,Furniture,802
Connecticut,Fairfield,Office Supplies,7
Connecticut,Manchester,Office Supplies,135
Connecticut,Manchester,Furniture,1044
Connecticut,Norwich,Furniture,22
Delaware,Dover,Furniture,10
Delaware,Dover,Technology,67
Delaware,Wilmington,Furniture,47
Delaware,Wilmington,Technology,68
Delaware,Wilmington,Office Supplies,373
Florida,Boca Raton,Office Supplies,5
Florida,Fort Lauderdale,Office Supplies,22
Florida,Fort Lauderdale,Furniture,958
Florida,Hialeah,Office Supplies,46
Florida,Jacksonville,Office Supplies,10
Florida,Jacksonville,Technology,498
Florida,Jacksonville,Furniture,1585
Florida,Lakeland,Furniture,730
Florida,Melbourne,Office Supplies,96
Florida,Miami,Technology,18
Florida,Miami,Office Supplies,246
Florida,Palm Coast,Office Supplies,24
Florida,Pembroke Pines,Technology,84
Florida,Pembroke Pines,Furniture,375
Florida,Saint Petersburg,Office Supplies,16
Florida,Saint Petersburg,Technology,178
Florida,Saint Petersburg,Furniture,311
Florida,Tamarac,Office Supplies,1410
Florida,Tampa,Office Supplies,402
